@relation train_twc_conv_w
@attribute agent_ring_count numeric
@attribute agent_speech_duration numeric
@attribute agent_speech_ratio numeric
@attribute agent_first_half_speech_ratio numeric
@attribute agent_spoke_first numeric
@attribute agent_first_speech_time numeric
@attribute agent_speech_duration_before_ring numeric
@attribute agent_speech_duration_after_ring numeric
@attribute agent_silence_duration numeric
@attribute agent_silence_ratio numeric
@attribute caller_ring_count numeric
@attribute caller_speech_duration numeric
@attribute caller_speech_ratio numeric
@attribute caller_first_half_speech_ratio numeric
@attribute caller_spoke_first numeric
@attribute caller_first_speech_time numeric
@attribute caller_speech_duration_before_ring numeric
@attribute caller_speech_duration_after_ring numeric
@attribute caller_silence_duration numeric
@attribute caller_silence_ratio numeric
@attribute analyzed_call_duration numeric
@attribute conversation_switch_count numeric
@attribute overlapping_speech_count numeric
@attribute overlapping_speech_duration numeric
@attribute overlapping_silence_count numeric
@attribute overlapping_silence_duration numeric
@attribute estimated_hold_time_duration numeric
@attribute agent_eighths_speech_seg_ratio_0 numeric
@attribute agent_eighths_speech_seg_ratio_1 numeric
@attribute agent_eighths_speech_seg_ratio_2 numeric
@attribute agent_eighths_speech_seg_ratio_3 numeric
@attribute agent_eighths_speech_seg_ratio_4 numeric
@attribute agent_eighths_speech_seg_ratio_5 numeric
@attribute agent_eighths_speech_seg_ratio_6 numeric
@attribute agent_eighths_speech_seg_ratio_7 numeric
@attribute caller_eighths_speech_seg_ratio_0 numeric
@attribute caller_eighths_speech_seg_ratio_1 numeric
@attribute caller_eighths_speech_seg_ratio_2 numeric
@attribute caller_eighths_speech_seg_ratio_3 numeric
@attribute caller_eighths_speech_seg_ratio_4 numeric
@attribute caller_eighths_speech_seg_ratio_5 numeric
@attribute caller_eighths_speech_seg_ratio_6 numeric
@attribute caller_eighths_speech_seg_ratio_7 numeric
@attribute overlapping_speech_ratio numeric
@attribute overlapping_silence_ratio numeric
@attribute overlapping_silence_large_count numeric
@attribute agent_speech_duration_after_last_hold numeric
@attribute eighths_overlapping_silence_seg_ratio_0 numeric
@attribute eighths_overlapping_silence_seg_ratio_1 numeric
@attribute eighths_overlapping_silence_seg_ratio_2 numeric
@attribute eighths_overlapping_silence_seg_ratio_3 numeric
@attribute eighths_overlapping_silence_seg_ratio_4 numeric
@attribute eighths_overlapping_silence_seg_ratio_5 numeric
@attribute eighths_overlapping_silence_seg_ratio_6 numeric
@attribute eighths_overlapping_silence_seg_ratio_7 numeric
@attribute caller_final_speech_ratio numeric
@attribute final_overlapping_silence_ratio numeric
@attribute final_switch_count numeric
@attribute agent_final_speech_end numeric
@attribute caller_final_speech_end numeric
@attribute classification {'No','Sale'}
@data
8,264.070046054422,0.288826612962282,0.328603288346736,0,0.2195,7.62268,183.602925306122,642.752629396825,0.703010688622469,0,279.46462,0.30566442822052,0.289732034465541,1,0.16961,-1,-1,634.821094,0.69433557177948,914.285714,112,28,18.7275399999999,203,383.152959464853,34.46171,0.67956,0.19075,0.28312,0.16098,0.2111,0.27273,0.2372,0.27517,0.08975,0.3644,0.37967,0.32511,0.41876,0.27197,0.26749,0.32817,0.0204832468814009,0.419073549545643,3,130.33398,0.22179,0.40887,0.37161,0.52133,0.40306,0.4945,0.51967,0.41176,0.245444,0.469613700000002,5,7.87574,1.37049,'No'
1,238.847048321995,0.646082784593477,0.681964656949527,1,0.22948,16.5523783219955,222.29467,128.85236214966,0.348546459016186,0,26.43992,0.0715201517374399,0.0762700347039873,0,0.82812,-1,-1,343.244978,0.92847984826256,369.684898,38,6,4.30023000000002,65,106.71267214966,25.79136,0.74911,0.5481,0.68484,0.74581,0.33888,0.61568,0.71241,0.77383,0.05074,0.04966,0.07427,0.13041,0.12069,0.11292,0.02591,0.00756,0.0116321494961366,0.288658456774882,2,101.07021,0.18266,0.40224,0.24586,0.16027,0.54042,0.29752,0.26168,0.21861,0.0174605,0.3215239,2,2.74884,16.28808,'No'
8,518.162180068027,0.389336106421252,0.388001898064182,1,0.22948,31.2589600680272,335.86648,802.397820319728,0.602904756814109,0,469.88222,0.353059565226,0.269142021244184,0,70.68934,-1,-1,861.004310999999,0.646940434773999,1330.886531,144,62,43.2317200000006,238,375.747320319728,81.375085419501,0.68466,0.27485,0.31372,0.27878,0.37618,0.25018,0.46318,0.47313,0.00276,0.5163,0.31486,0.24265,0.43562,0.67497,0.34832,0.289,0.0324834003448191,0.282328591932927,7,287.61609,0.29321,0.23948,0.40482,0.49904,0.20901,0.13242,0.20745,0.27319,0.24913595,0.412625550000007,10,2.27605,3.67291,'No'
9,148.033585736961,0.169708633987614,0.273533118116773,1,0.2195,21.67074,64.1941476643991,714.419565863945,0.819024736941991,0,95.30341,0.109257716382014,0.161095552512988,0,8.8,-1,-1,776.977406,0.890742283617986,872.280816,65,10,4.83901999999993,135,623.955175863945,319.35411,0.62794,0.19479,0.24304,0.02837,0.10477,0.05344,0.05124,0.05408,0.01153,0.16178,0.25713,0.21394,0.03422,0.05765,0.11859,0.01922,0.00554754834823735,0.715314568908214,27,0,0.34305,0.59347,0.5195,0.75769,0.861,0.88891,0.83218,0.9267,0.072336,0.927663999999999,0,23.12072,2.53753,'No'
9,104.033588911565,0.5551346285318,0.726133034686222,1,0.22948,21.64082,5.84671943310658,73.5112637165532,0.392264157212552,2,5.21814,0.0278445667484313,0.025448760277407,0,82.73197,5.21814,0,178.183401970522,0.950806154995987,187.402449,7,0,0,31,64.2922166870748,0,0.92382,0.64429,0.82878,0.50764,0.43043,0.80073,0,0.30539,0,0,0,0.1018,0.12096,0,0,0,0,0.343070312208539,0,-1,0.07618,0.27223,0.17122,0.39057,0.43785,0.15935,0.79598,0.44119,0,0.40485223696145,3,3.37069,78.91901,'No'
10,140.361082380952,0.125782988027,0.167752262828815,1,0.2195,16.6122462131519,65.0921513378685,964.522727632653,0.864346075447844,0,153.51113,0.137567253680723,0.0984767457079817,0,6.04626,-1,-1,962.387646,0.862432746319277,1115.898776,63,5,2.57422000000008,129,813.585817632653,555.98634,0.53038,0.08011,0.03498,0.02554,0.10143,0.09835,0.03805,0.09742,0.03684,0.14913,0.16817,0.03977,0.21065,0.18068,0.04728,0.26802,0.00230685798332669,0.729085679750448,51,11.88306,0.37298,0.76554,0.79935,0.93469,0.68792,0.72097,0.91467,0.63656,0.279871,0.542534999999998,2,12.74595,1.78086,'No'
1,62.5278805668934,0.572916568781872,0.763705998953953,1,0.22948,16.2231305668934,46.30475,44.6162465804989,0.408799829309412,0,19.02675,0.174334076674943,0.175522554638101,0,6.68481,-1,-1,90.112842,0.825665923325057,109.139592,18,9,11.04489,15,36.6343865804989,10.05714,0.91882,0.51658,0.93418,0.68524,0.23915,0.38469,0.16851,0.73616,0.32179,0,0.30936,0.07094,0.31375,0,0.10093,0.27791,0.101199663638105,0.335665416272574,1,12.34195,0.01682,0.33715,0.03364,0.24382,0.47709,0.61531,0.73056,0.23093,0.2584125,0.291610000000001,3,0.22712,7.50059,'No'
11,223.482183741497,0.488364958930874,0.496541088636002,1,0.22948,21.6507949659864,93.57732,221.908655036281,0.484926401688262,0,66.11977,0.14448838032619,0.108099099907465,0,2.01542,-1,-1,391.493291,0.85551161967381,457.613061,44,17,22.5686999999999,78,178.876395036281,37.01585,0.78563,0.74482,0.21562,0.2401,0.3694,0.51266,0.50254,0.53615,0.02721,0.03175,0.21585,0.15759,0.02355,0.11564,0.37905,0.20527,0.0493183038759463,0.390890055990516,3,59.41493,0.18001,0.20268,0.4917,0.61548,0.58124,0.37169,0.27071,0.41361,0.020453,0.506502549999999,2,0.65161,5.8897,'No'
5,201.68163,0.243937595587465,0.295943030533161,1,0.22948,7.6127,57.13018,618.389118095238,0.747952873078253,0,125.81401,0.152174330853124,0.119856888358969,0,60.90159,-1,-1,700.9615,0.847825669146877,826.77551,59,10,6.11611999999992,118,498.691228095238,316.20133,0.69097,0.29849,0.16084,0.03347,0.04521,0.24348,0.10661,0.37243,0.02124,0.26983,0.18835,0,0,0.21867,0.35576,0.16354,0.00739755825617031,0.6031761004813,28,45.89568,0.27215,0.40908,0.67842,0.96653,0.95479,0.53911,0.53763,0.46769,0.19057,0.344443000000007,5,1.96008,0.02447,'Sale'
1,151.6453,0.646311693838889,0.718155384002726,1,0.22948,21.66077,129.98453,80.9711174988662,0.345098595886057,0,15.70427,0.0669315392181838,0.115067845630855,0,15.56463,-1,-1,218.927567,0.933068460781816,234.631837,20,5,6.43536,37,72.6001718979592,0,0.73854,0.75458,0.79463,0.58487,0.5915,0.54273,0.60166,0.56199,0.27132,0.11071,0,0.07824,0.04048,0.0347,0,0,0.0274274799289067,0.309421657462279,0,-1,0.11022,0.19595,0.20537,0.33689,0.36802,0.42257,0.39834,0.43801,0,0.45023185,0,0.50395,82.56745,'No'
