@relation train_twc_asr_w
@attribute agent_ring_count numeric
@attribute agent_speech_duration numeric
@attribute agent_speech_ratio numeric
@attribute agent_first_half_speech_ratio numeric
@attribute agent_spoke_first numeric
@attribute agent_first_speech_time numeric
@attribute agent_speech_duration_before_ring numeric
@attribute agent_speech_duration_after_ring numeric
@attribute agent_silence_duration numeric
@attribute agent_silence_ratio numeric
@attribute caller_ring_count numeric
@attribute caller_speech_duration numeric
@attribute caller_speech_ratio numeric
@attribute caller_first_half_speech_ratio numeric
@attribute caller_spoke_first numeric
@attribute caller_first_speech_time numeric
@attribute caller_speech_duration_before_ring numeric
@attribute caller_speech_duration_after_ring numeric
@attribute caller_silence_duration numeric
@attribute caller_silence_ratio numeric
@attribute analyzed_call_duration numeric
@attribute conversation_switch_count numeric
@attribute overlapping_speech_count numeric
@attribute overlapping_speech_duration numeric
@attribute overlapping_silence_count numeric
@attribute overlapping_silence_duration numeric
@attribute estimated_hold_time_duration numeric
@attribute agent_eighths_speech_seg_ratio_0 numeric
@attribute agent_eighths_speech_seg_ratio_1 numeric
@attribute agent_eighths_speech_seg_ratio_2 numeric
@attribute agent_eighths_speech_seg_ratio_3 numeric
@attribute agent_eighths_speech_seg_ratio_4 numeric
@attribute agent_eighths_speech_seg_ratio_5 numeric
@attribute agent_eighths_speech_seg_ratio_6 numeric
@attribute agent_eighths_speech_seg_ratio_7 numeric
@attribute caller_eighths_speech_seg_ratio_0 numeric
@attribute caller_eighths_speech_seg_ratio_1 numeric
@attribute caller_eighths_speech_seg_ratio_2 numeric
@attribute caller_eighths_speech_seg_ratio_3 numeric
@attribute caller_eighths_speech_seg_ratio_4 numeric
@attribute caller_eighths_speech_seg_ratio_5 numeric
@attribute caller_eighths_speech_seg_ratio_6 numeric
@attribute caller_eighths_speech_seg_ratio_7 numeric
@attribute overlapping_speech_ratio numeric
@attribute overlapping_silence_ratio numeric
@attribute overlapping_silence_large_count numeric
@attribute agent_speech_duration_after_last_hold numeric
@attribute eighths_overlapping_silence_seg_ratio_0 numeric
@attribute eighths_overlapping_silence_seg_ratio_1 numeric
@attribute eighths_overlapping_silence_seg_ratio_2 numeric
@attribute eighths_overlapping_silence_seg_ratio_3 numeric
@attribute eighths_overlapping_silence_seg_ratio_4 numeric
@attribute eighths_overlapping_silence_seg_ratio_5 numeric
@attribute eighths_overlapping_silence_seg_ratio_6 numeric
@attribute eighths_overlapping_silence_seg_ratio_7 numeric
@attribute caller_final_speech_ratio numeric
@attribute final_overlapping_silence_ratio numeric
@attribute final_switch_count numeric
@attribute agent_final_speech_end numeric
@attribute caller_final_speech_end numeric
@attribute classification {'No','Sale'}
@data
1,104.472573854875,0.546507339463882,0.65418046319889,1,0.2195,17.7895738548753,86.683,84.7159979410431,0.443158552876283,0,15.83399,0.0828293151848473,0.0598048643886984,0,73.60272,-1,-1,175.330092,0.917170684815153,191.164082,11,1,0.399079999999998,28,69.2810879410431,12.35193,0.74447,0.81086,0.71483,0.34656,0.32815,0.08981,0.55909,0.77829,0,0,0,0.23922,0.08437,0.27098,0.03335,0.03471,0.00208763066693668,0.362416868358372,1,31.95737,0.17285,0.18914,0.28517,0.41422,0.58748,0.63921,0.40756,0.2037,0.0394095,0.1101776,3,0.8067,0.27791,'No'
7,148.532578435374,0.18701528636436,0.250844295361717,1,0.22948,16.2730271882086,81.1556990929705,638.109607800453,0.803434857805111,0,129.35583,0.162870111359947,0.08909179042591,0,75.64807,-1,-1,664.871109,0.837129888640053,794.226939,64,9,7.1935500000003,118,515.947327800454,256.09791,0.63398,0.19493,0.06563,0.10884,0.07447,0.1011,0.1204,0.1967,0.0799,0.22582,0,0.05065,0.14221,0.21159,0.25523,0.33757,0.00905729791671081,0.649622044361874,20,19.53564,0.26873,0.52277,0.93437,0.84051,0.78333,0.70228,0.63221,0.51276,0.598312050000001,0.132199000000003,1,-0.00799,6.93623,'No'
7,195.246178843537,0.234156259013026,0.204254163997788,1,0.2195,20.4335621088435,110.0897,629.862210750567,0.755385738336096,0,108.40378,0.130007274600812,0.0349635896561285,0,159.33788,-1,-1,725.424791,0.869992725399188,833.828571,64,24,14.3075000000003,112,535.765930750567,348.308451360544,0.71957,0.02106,0.04576,0.03063,0.05495,0.20897,0.29168,0.50064,0,0.06576,0,0.07409,0.18695,0.25865,0.19997,0.25463,0.01715880277746,0.642537266512743,31,52.18135,0.2386,0.89039,0.95424,0.90198,0.75619,0.56684,0.53927,0.29278,0.131201,0.463220499999994,4,1.86941,9.09298,'No'
8,264.070046054422,0.288826612962282,0.328603288346736,0,0.2195,7.62268,183.602925306122,642.752629396825,0.703010688622469,0,279.46462,0.30566442822052,0.289732034465541,1,0.16961,-1,-1,634.821094,0.69433557177948,914.285714,112,28,18.7275399999999,203,383.152959464853,34.46171,0.67956,0.19075,0.28312,0.16098,0.2111,0.27273,0.2372,0.27517,0.08975,0.3644,0.37967,0.32511,0.41876,0.27197,0.26749,0.32817,0.0204832468814009,0.419073549545643,3,130.33398,0.22179,0.40887,0.37161,0.52133,0.40306,0.4945,0.51967,0.41176,0.245444,0.469613700000002,5,7.87574,1.37049,'No'
1,238.847048321995,0.646082784593477,0.681964656949527,1,0.22948,16.5523783219955,222.29467,128.85236214966,0.348546459016186,0,26.43992,0.0715201517374399,0.0762700347039873,0,0.82812,-1,-1,343.244978,0.92847984826256,369.684898,38,6,4.30023000000002,65,106.71267214966,25.79136,0.74911,0.5481,0.68484,0.74581,0.33888,0.61568,0.71241,0.77383,0.05074,0.04966,0.07427,0.13041,0.12069,0.11292,0.02591,0.00756,0.0116321494961366,0.288658456774882,2,101.07021,0.18266,0.40224,0.24586,0.16027,0.54042,0.29752,0.26168,0.21861,0.0174605,0.3215239,2,2.74884,16.28808,'No'
9,148.033585736961,0.169708633987614,0.273533118116773,1,0.2195,21.67074,64.1941476643991,714.419565863945,0.819024736941991,0,95.30341,0.109257716382014,0.161095552512988,0,8.8,-1,-1,776.977406,0.890742283617986,872.280816,65,10,4.83901999999993,135,623.955175863945,319.35411,0.62794,0.19479,0.24304,0.02837,0.10477,0.05344,0.05124,0.05408,0.01153,0.16178,0.25713,0.21394,0.03422,0.05765,0.11859,0.01922,0.00554754834823735,0.715314568908214,27,0,0.34305,0.59347,0.5195,0.75769,0.861,0.88891,0.83218,0.9267,0.072336,0.927663999999999,0,23.12072,2.53753,'No'
9,115.018546122449,0.384479018035693,0.521135165166572,1,0.2195,19.0766333333333,39.9392034240363,174.318052802721,0.582702842514919,0,117.62264,0.393183870345752,0.457853109281543,0,1.06757,-1,-1,181.531646,0.606816129654248,299.154286,61,28,46.25484,58,104.636417088435,16.38277,0.78495,0.60249,0.57472,0.12239,0.35921,0.29723,0.13341,0.20144,0.4245,0.48236,0.73025,0.1943,0.24644,0.61018,0.38166,0.07578,0.154618677266753,0.349774086433899,1,7.53286,0.08245,0.09659,0.11526,0.52162,0.48267,0.26094,0.51588,0.72278,0.113742,0.509615000000002,5,5.40191,1.72027,'Sale'
9,104.033588911565,0.5551346285318,0.726133034686222,1,0.22948,21.64082,5.84671943310658,73.5112637165532,0.392264157212552,2,5.21814,0.0278445667484313,0.025448760277407,0,82.73197,5.21814,0,178.183401970522,0.950806154995987,187.402449,7,0,0,31,64.2922166870748,0,0.92382,0.64429,0.82878,0.50764,0.43043,0.80073,0,0.30539,0,0,0,0.1018,0.12096,0,0,0,0,0.343070312208539,0,-1,0.07618,0.27223,0.17122,0.39057,0.43785,0.15935,0.79598,0.44119,0,0.40485223696145,3,3.37069,78.91901,'No'
10,140.361082380952,0.125782988027,0.167752262828815,1,0.2195,16.6122462131519,65.0921513378685,964.522727632653,0.864346075447844,0,153.51113,0.137567253680723,0.0984767457079817,0,6.04626,-1,-1,962.387646,0.862432746319277,1115.898776,63,5,2.57422000000008,129,813.585817632653,555.98634,0.53038,0.08011,0.03498,0.02554,0.10143,0.09835,0.03805,0.09742,0.03684,0.14913,0.16817,0.03977,0.21065,0.18068,0.04728,0.26802,0.00230685798332669,0.729085679750448,51,11.88306,0.37298,0.76554,0.79935,0.93469,0.68792,0.72097,0.91467,0.63656,0.279871,0.542534999999998,2,12.74595,1.78086,'No'
1,62.5278805668934,0.572916568781872,0.763705998953953,1,0.22948,16.2231305668934,46.30475,44.6162465804989,0.408799829309412,0,19.02675,0.174334076674943,0.175522554638101,0,6.68481,-1,-1,90.112842,0.825665923325057,109.139592,18,9,11.04489,15,36.6343865804989,10.05714,0.91882,0.51658,0.93418,0.68524,0.23915,0.38469,0.16851,0.73616,0.32179,0,0.30936,0.07094,0.31375,0,0.10093,0.27791,0.101199663638105,0.335665416272574,1,12.34195,0.01682,0.33715,0.03364,0.24382,0.47709,0.61531,0.73056,0.23093,0.2584125,0.291610000000001,3,0.22712,7.50059,'No'
